1307311016;
酒店类
:4008886119:,24K酒店,,10001,1,;
:4008740087:,7天酒店,,10002,1,;
:4006028158:,安逸158,,10003,1,;
:4006998998:,格林豪泰,,10004,1,;
:4008121121:,华住酒店集团-汉庭酒店,,10005,1,;
:4008209999:,锦江之星,,10006,1,;
:4008190099:,桔子酒店,,10007,1,;
:4008308331:,岭南佳园酒店,,,1,;
:10102020:,莫泰旅店,,10008,1,;
:4008203333:,如家酒店,,10009,1,;
:4001840018:,速8酒店,,10010,1,;
:4008300251:,万豪酒店,,10011,1,;
:4008688688:,喜达屋酒店,,10012,1,;
:4001205900:,香格里拉酒店,,10013,1,;
:4006001615:,宜必思,,10014,1,;
:4008051766:,51766旅游总机,,,1,;
:4006103721:,大麦网,,10015,1,;
:4006008888:,国旅预定中心,,10016,1,;
:10106060:,驴妈妈,,10017,1,;
:4006640066:,芒果网,,10018,1,;
:4007777777:,同程网,,10019,1,;
:4007999999:,途牛旅游网,,10020,1,;
:10106666:,携程旅行网,,10021,1,;
:4008822223:,雅程旅行网,,10022,1,;
:4006669977:,阳光旅行网,,10023,1,;
:4009333333:,艺龙旅行网,,10024,1,;
:4008116666:,中旅总社客服热线,,10025,1,;
:4008840086:,中青旅,,10026,1,;
:4000008888:,悠哉旅游网,,10027,1,;
火车票机票预订
:95105105:,北京铁路局电话订票系统,,10028,1,;
:02896006:,成都铁路局,,10029,1,;
:02996688:,西安铁路电子商务平台,,10030,1,;
:073196020088:,广铁集团铁路电话订票系统,,10031,1,;
:4008206222:,春秋旅游服务热线,,10032,1,;
:95530:,东航服务热线,,10033,1,;
:95583:,国航热线,,10034,1,;
:4006100666:,凤凰知音会员服务热线,,10034,1,;
:950718:,大新华海南航空订票查询,,10035,1,;
:950712:,大新华海南航空服务热线,,10035,1,;
:4007006000:,上海吉祥航空客户中心,,10036,1,;
:95539:,南航服务热线,,10037,1,;
:4006695539:,南航门户网站服务热线,,10037,1,;
:4006096777:,山东航空服务热线,,10038,1,;
:95080:,深圳航空服务热线,,10039,1,;
:4008808666:,凤凰知音会员服务热线,,10039,1,;
:95071999:,首都航空服务热线,,10040,1,;
:4008300999:,四川航空服务热线,,10041,1,;
:950710:,天津航空服务热线,,10042,1,;
:95071095:,西部航空订票热线,,10043,1,;
:95557:,厦门航空服务热线,,10044,1,;
:95071950:,祥鹏航空服务热线,,10045,1,;
:4008680000:,幸福航空服务热线,,10046,1,;
:4000666888:,金鹿航空服务热线,,10047,1,;
银行保险
:95500:,太平洋保险,,10048,1,;
:95511:,平安银行,,10049,1,;
:95502:,永安保险,,10050,1,;
:95505:,天安保险,,10051,1,;
:95508:,广发银行信用卡专线,,10052,1,;
:95509:,华泰保险,,10053,1,;
:95510:,阳光保险,,10054,1,;
:95511:,中国平安保险,,10049,1,;
:95512:,中国平安保险,,10049,1,;
:95515:,合众人寿,,10056,1,;
:95516:,中国银联,,10057,1,;
:95517:,安信证劵,,10058,1,;
:95518:,中国人保财险,,10059,1,;
:95519:,中国人寿,,10060,1,;
:95521:,国泰君安,,10055,1,;
:95522:,泰康人寿,,10061,1,;
:95525:,光大证劵,,10062,1,;
:95526:,北京银行,,10065,1,;
:95527:,浙商银行,,10063,1,;
:95528:,浦发银行,,10064,1,;
:95529:,太平财险,,10066,1,;
:95532:,中投证劵,,10067,1,;
:95533:,建设银行,,10068,1,;
:95536:,国信证劵,,10069,1,;
:95538:,齐鲁证劵,,10070,1,;
:95550:,天平保险,,10071,1,;
:95553:,海通证劵,,10072,1,;
:95555:,招商银行,,10073,1,;
:95556:,华安保险,,10074,1,;
:95558:,中信金融服务中心,,10076,1,;
:95559:,交通银行,,10081,1,;
:95561:,兴业银行,,10077,1,;
:95565:,招商证劵,,10078,1,;
:95566:,中国银行,,10075,1,;
:95567:,新华人寿,,10079,1,;
:95568:,民生银行,,10080,1,;
:95569:,安邦保险,,10082,1,;
:95575:,广发证劵,,10083,1,;
:95577:,华夏银行,,10084,1,;
:95578:,国元证劵,,10085,1,;
:95579:,长江证劵,,10086,1,;
:95580:,邮政储蓄,,10087,1,;
:95585:,中华联合财险保险,,10088,1,;
:95587:,中信建投,,10091,1,;
:95588:,工商银行,,10089,1,;
:95589:,中国太平,,10090,1,;
:95590:,大地保险,,10092,1,;
:4008203588:,友邦保险,,10087,1,;
:02195512:,中国平安（上海）保险,,10049,1,;
:02195511:,中国平安保险,,10049,1,;
:4008000000:,平安电话车险,,10049,1,;
:4008895511:,中国平安贵宾服务专线,,10049,1,;
:95597:,华泰证券,,10093,1,;
生活常用预定电话
:110:,报警电话,,10094,1,;
:119:,火警,,10095,1,;
:120:,急救中心,,10096,1,;
:999:,红十字会急救台,,10097,1,;
:122:,交通事故报警,,10098,1,;
:96155:,公积金查询电话,,10099,1,;
:96103:,银建客户服务中心,,10100,1,;
:96106:,北京出租车调度中心,,10101,1,;
:4008158360:,360同城帮,,10102,1,;
:11185:,EMS中国邮政业务咨询,,10103,1,;
:112:,紧急号码语音提示,,10104,1,;
:114:,电话导航信息服务,,10105,1,;
:4000071111:,1号店,,10106,1,;
:12117:,报时服务,,,1,;
:12119:,森林火警,,,1,;
:12121:,天气预报,,10107,1,;
:12306:,铁路客服,,10028,1,;
:12309:,检察机关举报电话,,10109,1,;
:12310:,中央机构编制委员会违规举报热线,,,1,;
:12312:,商务举报投诉电话,,,1,;
:12315:,消费者申诉举报电话,,,1,;
:12318:,文化市场行政执法总队,,,1,;
:12319:,城市管理·热线,,,1,;
:12320:,公共卫生公益热线,,,1,;
:12321:,网络不良信息举报中心,,,1,;
:12333:,人力资源和社会保障咨询,,,1,;
:12336:,国土资源违法举报,,,1,;
:12345:,非紧急救助服务中心,,,1,;
:12348:,法律服务热线,,,1,;
:12355:,青少年服务热线,,,1,;
:12358:,价格监督举报,,,1,;
:12365:,质检服务热线,,,1,;
:12366:,纳税服务热线,,,1,;
:12369:,环保投诉举报电话,,,1,;
:12371:,党员咨询电话,,,1,;
:12380:,中央组织部专用举报,,,1,;
:12388:,全国纪检监察举报,,,1,;
:95188:,支付宝客服,,10108,1,;
:057188158198:,淘宝买家热线,,10110,1,;
:057188157858:,淘宝卖家热线,,10110,1,;
:4008608608:,天猫热线,,10111,1,;
:4000001818:,乐蜂网,,10112,1,;
:4000517317:,拉手网,,10113,1,;
:4001055555:,窝窝团,,10114,1,;
:4001191111:,银泰网,,10115,1,;
:4006006888:,凡客,,10116,1,;
:4006065500:,京东商城,,10117,1,;
:4006100400:,AAE全球专递,,10118,1,;
:4008208088:,万象物流,,10119,1,;
:4001888888:,天天快递,,10120,1,;
:4008174008:,民航快递,,10121,1,;
:4008201646:,远成物流,,10122,1,;
:4008205566:,上海佳吉快递,,10123,1,;
:95572:,中铁快运,,10124,1,;
:4008208388:,UPS快运,,10125,1,;
:4008209868:,TNT国际快递,,10126,1,;
:4008222222:,盛辉物流,,10127,1,;
:4008304888:,快捷速递,,10128,1,;
:4008305555:,德邦物流,,10129,1,;
:4008306333:,信丰物流,,10130,1,;
:4006272273:,苹果售后,,10131,1,;
:4008100000:,索爱售后,,10132,1,;
:4006999999:,海尔售后,,10133,1,;
:4006778899:,联通iphone售后,,10134,1,;
:4006222666:,佳能售后,,10135,1,;
:4008201668:,多普达售后,,10136,1,;
:4008105050:,摩托罗拉售后,,10137,1,;
:4008111666:,长虹售后,,10138,1,;
:4008816609:,优众网,,10139,1,;
